causality_from,aesfdrk,happy,health,sclmeet,stfdem,stfedu,stfhlth,stflife,trstlgl,trstplc,trstplt,isco08
aesfdrk,,0.00494823,0.043579708,0.002171622,0.008649146,,,,,,0.027933851,
atncrse,,0.00939284,0.002453551,0.000445471,,,,,,,,
bctprd,,,,,,,,0.044885535,,,,
chldhhe,,0.04331976,0.029166276,,,,,,,,,
clsprty,,,,,,,,,0.039409335,,,
crmvct,,,,0.010733668,,0.038035971,,,,,,
crpdwk,0.033018563,,,,,,,,,,,
crpdwkp,,0.022210372,,0.004148601,,0.048652939,,,,,0.024715578,
ctzcntr,0.021782763,,,,,,,0.027368359,,,,
dngnapp,,,,,,,,0.026590624,0.006198308,,,
dngoth,,,,0.020907078,,0.038480529,,,,,0.007264932,
dngothp,,,0.017645861,,,0.031654708,,0.010532708,,0.010599058,0.002304584,
domicil,,,,0.039765047,0.035576101,,,,,,,
dsbld,,,,,,,,,,,,
dsbldp,,,,,,,,,,,,
dscrage,0.043530763,0.005988985,,6.77E-07,,0.018528995,,0.002790251,,,0.049009047,
dscrdsb,0.00097259,,,,,0.040620164,,0.024729611,,,,
dscretn,,0.000796864,,0.003778899,0.03036908,,,,,0.04856683,,
dscrgnd,,,,,,,0.02899393,,,,,
dscrgrp,0.006062232,,,,,,,,,,,
dscrlng,0.000486523,,0.047912644,,,0.015044971,,0.006217368,,,,
dscrntn,0.015701358,,,,,,,0.0125387,,,,
dscroth,,,,,,,0.003904202,0.009156538,,,,
dscrrce,,,0.041064573,,,0.029183912,0.039886368,,,0.013163745,0.016651741,
dscrrlg,,,,,,,,,,,,
dscrsex,0.044334286,,,,,,,0.024962886,,,,
dvrcdeva,,0.005875567,,0.027486441,0.01336106,,,,,,,
edctn,0.000331569,,0.004166126,,,0.013559269,,0.003414909,,,,
edctnp,0.021608269,,0.045199478,,0.033347633,0.005364158,,0.001225036,,,,
edulvlb,,,,,,,,,,0.019191494,,
edulvlfb,,,,,,,0.035015971,,,0.031422479,,
edulvlmb,,,,,,,,,,0.019206589,,
edulvlpb,,,,,,,,,,0.011461836,,
eisced,,,,,,,,,,0.000681143,,
eiscedf,,,,,,,,,,,,
eiscedm,,,,,,,,,,,,
eiscedp,,,,,,,,,,0.007368105,,
emplrel,,0.002297812,,0.011644861,0.045541544,,,,0.003751588,0.002637007,0.003018987,
emprelp,,,,,,,,,,0.035505109,,
emprf14,0.009760449,0.000628575,0.002747819,0.006428867,1.49E-05,0.030348612,,0.020036699,,0.041913364,0.015353355,
emprm14,0.025379355,,,,,,,0.041585586,,,,
estsz,,0.001639015,,0.007146496,4.62E-05,,,,,,,
facntr,,0.038446481,,,,,,,0.015695054,0.020748659,,
freehms,,0.000197591,0.000114489,0.023582118,0.001460944,,,,,,,
happy,,,0.00116224,0.041561028,,,,,,0.003496137,0.011408824,
health,,0.003974747,,0.026718601,0.000229346,,,,,,,
hincfel,,,,0.029495103,,0.010062804,,0.036470267,0.033628563,,0.011377531,
hincsrca,,0.00020132,0.014140804,,9.45E-05,,,,,,,
hinctnta,,0.008427254,,0.000130096,0.007896236,,,,,0.035081042,0.017943482,
hlthhmp,0.016477812,,0.007065506,,,0.004796081,,0.005608695,,,0.008367649,
hswrk,,,,,,0.028961461,,,,,,
hswrkp,,,,,,0.002820397,,,0.015385198,,,
imbgeco,,0.001702388,,0.017653601,0.037442303,0.041359586,,,0.013576924,,0.000716105,
imdfetn,,0.031749797,,,,,,,0.00505379,,0.002443388,
impcntr,,,,,,0.017225421,,,0.031953149,,,
imsmetn,,,,,,0.028192623,,,0.020925231,,0.018833354,
imueclt,0.020826358,,0.019634116,0.005379898,,0.017075925,,,0.012612946,,0.005555742,
imwbcnt,,,,,,0.003316887,,,,,,
iorgact,,,0.002239844,,,0.019546976,,0.000205965,,,,
jbspv,,0.000288776,,0.000318788,0.004733766,,,,,,0.038529666,
lrscale,0.012973173,,,,,,,,,,,
lvgptnea,0.021904998,,0.002512126,,,0.0292113,,0.001037954,,,,
mainact,,,,,,0.046268201,,0.017267372,,,,
