Round,Theme,Variable,Description,Groups,Countries Covered,,question - do all countries have info for all rounds,,,,,
"8, 9, 10, 11",Politics,actrolga ,Able to take active role in political group,Political Freedom,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,bctprd,Boycotted certain products last 12 months,Political Freedom,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,freehms,Gays and lesbians free to live life as they wish,Political Freedom,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Politics,psppipla ,Political system allows people to have influence on politics,Political Freedom,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Politics,psppsgva ,Political system allows people to have a say in what government does,Political Freedom,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,lrscale,Placement on left right scale,Political Alignment,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,polintr,How interested in politics,Political Alignment,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,clsprty,Feel closer to a particular party than all other parties,Political Alignment,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,stfdem,How satisfied with the way democracy works in country,Public Satisfaction,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Politics,stfeco ,How satisfied with present state of economy in country,Public Satisfaction,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
